id;start_date;end_date;language
1;2020-02-06T10:55:09;2020-02-06T08:45:24;SPANISH
2;2020-02-05T15:45:20;2020-02-06T10:49:45;SPANISH
3;2020-02-06T06:40:39;2020-02-05T17:14:48;FRENCH
4;2020-02-05T21:58:10;2020-02-06T09:29:36;FRENCH
5;2020-02-06T07:28:28;2020-02-06T12:15:27;FRENCH
6;2020-02-06T01:20:49;2020-02-06T13:29:03;FRENCH
7;2020-02-06T03:06:09;2020-02-05T20:57:00;FRENCH
8;2020-02-06T02:02:22;2020-02-06T12:18:30;SPANISH
9;2020-02-06T00:43:31;2020-02-05T21:24:54;SPANISH
10;2020-02-06T08:55:35;2020-02-05T19:30:05;SPANISH
